"lon","lat","tmp_1"
-118.75,32.75,9.19999980926514
-118.25,32.75,8
-117.25,32.75,10.1000003814697
-116.75,32.75,5.59999990463257
-116.25,32.75,4.70000028610229
-115.75,32.75,8.5
-115.25,32.75,9.60000038146973
-114.75,32.75,10.4000005722046
-114.25,32.75,10
-113.75,32.75,10.3000001907349
-113.25,32.75,10.3000001907349
-119.75,33.25,8.80000019073486
-119.25,33.25,8.80000019073486
-118.75,33.25,8.60000038146973
-118.25,33.25,8.10000038146973
-117.75,33.25,8.60000038146973
-117.25,33.25,8
-116.75,33.25,4.40000009536743
-116.25,33.25,6.80000019073486
-115.75,33.25,9
-115.25,33.25,8.30000019073486
-114.75,33.25,8.60000038146973
-114.25,33.25,8.40000057220459
-113.75,33.25,9
-113.25,33.25,9
-120.25,33.75,8.5
-119.75,33.75,8.30000019073486
-118.25,33.75,10.1000003814697
-117.75,33.75,8.30000019073486
-117.25,33.75,7.5
-116.75,33.75,3.10000014305115
-116.25,33.75,6.90000009536743
-115.75,33.75,6.5
-115.25,33.75,7
-114.75,33.75,8
-114.25,33.75,7.90000009536743
-113.75,33.75,7
-113.25,33.75,6.5
-120.25,34.25,8.40000057220459
-119.75,34.25,7.80000019073486
-119.25,34.25,8.60000038146973
-118.75,34.25,7.30000019073486
-118.25,34.25,5.70000028610229
-117.75,34.25,3.40000009536743
-117.25,34.25,3.29999995231628
-116.75,34.25,-0.100000001490116
-116.25,34.25,4.80000019073486
-115.75,34.25,5
-115.25,34.25,6.5
-114.75,34.25,6.80000019073486
-114.25,34.25,7.20000028610229
-113.75,34.25,5.59999990463257
-113.25,34.25,5.40000009536743
-120.75,34.75,8.30000019073486
-120.25,34.75,7.40000009536743
-119.75,34.75,4.5
-119.25,34.75,3.10000014305115
-118.75,34.75,3.40000009536743
-118.25,34.75,4.40000009536743
-117.75,34.75,4.90000009536743
-117.25,34.75,4.80000019073486
-116.75,34.75,3.10000014305115
-116.25,34.75,4.59999990463257
-115.75,34.75,5.09999990463257
-115.25,34.75,5.70000028610229
-114.75,34.75,6
-114.25,34.75,6
-113.75,34.75,3.40000009536743
-113.25,34.75,1.60000002384186
-121.25,35.25,8.5
-120.75,35.25,8.80000019073486
-120.25,35.25,6.30000019073486
-119.75,35.25,5.90000009536743
-119.25,35.25,7.30000019073486
-118.75,35.25,5.59999990463257
-118.25,35.25,3.60000014305115
-117.75,35.25,5.40000009536743
-117.25,35.25,4.90000009536743
-116.75,35.25,4.20000028610229
-116.25,35.25,5.30000019073486
-115.75,35.25,4.80000019073486
-115.25,35.25,3.79999995231628
-114.75,35.25,4.70000028610229
-114.25,35.25,3.60000014305115
-113.75,35.25,1.30000007152557
-113.25,35.25,1.60000002384186
-121.25,35.75,7.59999990463257
-120.75,35.75,6.80000019073486
-120.25,35.75,6.40000009536743
-119.75,35.75,6.5
-119.25,35.75,6.30000019073486
-118.75,35.75,4.40000009536743
-118.25,35.75,1.60000002384186
-117.75,35.75,4
-117.25,35.75,3.60000014305115
-116.75,35.75,5.20000028610229
-116.25,35.75,5.40000009536743
-115.75,35.75,3.20000004768372
-115.25,35.75,2.10000014305115
-114.75,35.75,2.90000009536743
-114.25,35.75,2
-113.75,35.75,0.400000005960464
-113.25,35.75,0.800000011920929
-121.75,36.25,6.90000009536743
-121.25,36.25,6
-120.75,36.25,5.40000009536743
-120.25,36.25,5.80000019073486
-119.75,36.25,5.40000009536743
-119.25,36.25,5.59999990463257
-118.75,36.25,0.699999988079071
-118.25,36.25,-3.60000014305115
-117.75,36.25,0.5
-117.25,36.25,1.30000007152557
-116.75,36.25,4.30000019073486
-116.25,36.25,2.79999995231628
-115.75,36.25,-1.20000004768372
-115.25,36.25,1.30000007152557
-114.75,36.25,1.39999997615814
-114.25,36.25,1.30000007152557
-113.75,36.25,-1
-113.25,36.25,-2.40000009536743
-122.25,36.75,8.69999980926514
-121.75,36.75,7.59999990463257
-121.25,36.75,5.80000019073486
-120.75,36.75,5.30000019073486
-120.25,36.75,5.09999990463257
-119.75,36.75,5
-119.25,36.75,3.5
-118.75,36.75,-3.60000014305115
-118.25,36.75,-4.20000028610229
-117.75,36.75,-0.300000011920929
-117.25,36.75,1.5
-116.75,36.75,2.60000014305115
-116.25,36.75,-0.100000001490116
-115.75,36.75,-0.699999988079071
-115.25,36.75,-2.20000004768372
-114.75,36.75,0.699999988079071
-114.25,36.75,0.100000001490116
-113.75,36.75,-2.60000014305115
-113.25,36.75,-3.70000004768372
-122.25,37.25,7.90000009536743
-121.75,37.25,6
-121.25,37.25,5.59999990463257
-120.75,37.25,5.30000019073486
-120.25,37.25,4.80000019073486
-119.75,37.25,3.20000004768372
-119.25,37.25,-1.89999997615814
-118.75,37.25,-6.90000009536743
-118.25,37.25,-3.10000014305115
-117.75,37.25,-1
-117.25,37.25,-1.70000004768372
-116.75,37.25,-1.89999997615814
-116.25,37.25,-3.5
-115.75,37.25,-3.5
-115.25,37.25,-3.29999995231628
-114.75,37.25,-3.60000014305115
-114.25,37.25,-5
-113.75,37.25,-5.5
-113.25,37.25,-6.20000028610229
-122.75,37.75,7.80000019073486
-122.25,37.75,8.19999980926514
-121.75,37.75,5.59999990463257
-121.25,37.75,5.90000009536743
-120.75,37.75,4.80000019073486
-120.25,37.75,2.79999995231628
-119.75,37.75,-1.80000007152557
-119.25,37.75,-5.70000028610229
-118.75,37.75,-5.30000019073486
-118.25,37.75,-5.30000019073486
-117.75,37.75,-3.29999995231628
-117.25,37.75,-2.79999995231628
-116.75,37.75,-2.60000014305115
-116.25,37.75,-5.09999990463257
-115.75,37.75,-5.30000019073486
