"lon","lat","tmpJan","tmpFeb","tmpMar","tmpApr","tmpMay","tmpJun","tmpJul","tmpAug","tmpSep","tmpOct","tmpNov","tmpDec","mtwa","mtco","mat"
-118.75,32.75,13.1999998092651,14.4000005722046,15.6999998092651,16.2000007629395,16.8000011444092,18.7000007629395,21.8000011444092,22.2000007629395,21.3999996185303,19.6000003814697,17.7000007629395,15,22.2000007629395,13.1999998092651,17.7250004609426
-118.25,32.75,12.3000001907349,13.6999998092651,15.3000001907349,15.8000001907349,16.6000003814697,19.1000003814697,22.3000011444092,22.7000007629395,21.3999996185303,19.3999996185303,17.3999996185303,14.3000001907349,22.7000007629395,12.3000001907349,17.5250001748403
-117.25,32.75,13.9000005722046,15.1999998092651,17.1000003814697,17.7000007629395,18.1000003814697,20,22.7000007629395,23.3999996185303,22.3000011444092,20.8999996185303,19,15.6999998092651,23.3999996185303,13.9000005722046,18.8333335717519
-116.75,32.75,9.40000057220459,11,13.1999998092651,14.4000005722046,16.3000011444092,20,23.8999996185303,23.8000011444092,21.3999996185303,18.2000007629395,15.4000005722046,11.6000003814697,23.8999996185303,9.40000057220459,16.5500003496806
-116.25,32.75,8.5,10.6000003814697,13.5,15.1999998092651,17.7000007629395,22.6000003814697,26.6000003814697,26.2000007629395,23.3000011444092,19.3000011444092,14.8000001907349,10.8000001907349,26.6000003814697,8.5,17.4250004291534
-115.75,32.75,12.6000003814697,15.4000005722046,18.8000011444092,21.3000011444092,23.7000007629395,29.2000007629395,32,31.6000003814697,28.8999996185303,24.6000003814697,19.5,14.5,32,12.6000003814697,22.6750004291534
-115.25,32.75,13.6999998092651,16.7000007629395,20.3999996185303,23.3000011444092,26,31.6000003814697,34.2000007629395,33.7000007629395,30.7000007629395,26.2000007629395,20.7000007629395,15.4000005722046,34.2000007629395,13.6999998092651,24.3833338419596
-114.75,32.75,14.1000003814697,17.1000003814697,20.8999996185303,23.6000003814697,26.6000003814697,32.4000015258789,34.9000015258789,34.4000015258789,31.2000007629395,26.5,20.8999996185303,15.6000003814697,34.9000015258789,14.1000003814697,24.8500005404154
-114.25,32.75,13.6000003814697,16.7000007629395,20.3999996185303,22.8000011444092,26.1000003814697,32.1000022888184,34.6000022888184,33.9000015258789,30.7000007629395,25.8999996185303,20.2000007629395,15.1000003814697,34.6000022888184,13.6000003814697,24.3416674931844
-113.75,32.75,13.6000003814697,16.8000011444092,20.5,23,26.3999996185303,32.6000022888184,34.9000015258789,34,30.8999996185303,26.1000003814697,20.5,15.1999998092651,34.9000015258789,13.6000003814697,24.541667064031
-113.25,32.75,13.8000001907349,17.2000007629395,20.7000007629395,23.3000011444092,26.6000003814697,32.5,35.2000007629395,34.1000022888184,31,26.3000011444092,20.7000007629395,15.3000001907349,35.2000007629395,13.8000001907349,24.7250006993612
-119.75,33.25,12.6000003814697,13.5,14.6999998092651,14.6999998092651,14.9000005722046,16.5,19.2000007629395,19.7000007629395,19.3999996185303,18.1000003814697,16.8000011444092,14.3000001907349,19.7000007629395,12.6000003814697,16.2000002861023
-119.25,33.25,12.6000003814697,13.8000001907349,15.1000003814697,15.3000001907349,15.9000005722046,17.8999996185303,20.8000011444092,21.1000003814697,20.5,18.7000007629395,17,14.4000005722046,21.1000003814697,12.6000003814697,16.9250003496806
-118.75,33.25,12.6000003814697,13.9000005722046,15.5,16,16.8999996185303,19.2000007629395,22.3999996185303,22.6000003814697,21.6000003814697,19.3999996185303,17.2000007629395,14.3000001907349,22.6000003814697,12.6000003814697,17.6333335240682
-118.25,33.25,12.4000005722046,14,15.8000001907349,16.5,17.6000003814697,20.3999996185303,23.6000003814697,23.8999996185303,22.3999996185303,20.1000003814697,17.7000007629395,14.3000001907349,23.8999996185303,12.4000005722046,18.2250001430511
-117.75,33.25,12.9000005722046,14.6999998092651,16.7000007629395,17.7000007629395,19,22.1000003814697,25.3999996185303,25.5,23.8000011444092,21.1000003814697,18.3999996185303,14.8000001907349,25.5,12.9000005722046,19.3416669368744
-117.25,33.25,12,13.5,15.4000005722046,16.3000011444092,17.7000007629395,20.6000003814697,23.8999996185303,24.3000011444092,22.3000011444092,19.8999996185303,17.3000011444092,13.8000001907349,24.3000011444092,12,18.0833338101705
-116.75,33.25,8.19999980926514,9.90000057220459,12,13,15.6999998092651,19.8000011444092,24.2000007629395,23.8000011444092,20.7000007629395,17.2000007629395,13.9000005722046,10.1000003814697,24.2000007629395,8.19999980926514,15.7083338101705
-116.25,33.25,10.4000005722046,12.9000005722046,15.9000005722046,18.1000003814697,21,25.7000007629395,29.7000007629395,29.1000003814697,25.8000011444092,21.5,17,12.4000005722046,29.7000007629395,10.4000005722046,19.9583338101705
-115.75,33.25,13.1000003814697,16.3999996185303,20,22.7000007629395,25.5,31.3000011444092,33.9000015258789,33.2999992370605,30.2000007629395,25.5,20.1000003814697,14.8000001907349,33.9000015258789,13.1000003814697,23.900000333786
-115.25,33.25,12.3000001907349,15.6000003814697,19.2000007629395,22,25.2000007629395,31.1000003814697,34,33.2999992370605,29.8000011444092,24.8999996185303,19.2000007629395,13.9000005722046,34,12.3000001907349,23.3750003178914
-114.75,33.25,12.1999998092651,15.4000005722046,18.8999996185303,21.6000003814697,24.8999996185303,31,33.7999992370605,33,29.5,24.3999996185303,18.7000007629395,13.6000003814697,33.7999992370605,12.1999998092651,23.0833333333333
-114.25,33.25,11.6999998092651,15,18.5,20.8999996185303,24.3999996185303,30.8000011444092,33.6000022888184,32.5,28.8000011444092,23.8000011444092,18.3000011444092,13.3000001907349,33.6000022888184,11.6999998092651,22.6333338419596
